Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025-12-31 12:00:00;2025-12-31 13:00:00;GWAD'AIR;FR01ZAG01;ZAG POINTE-A-PITRE;FR37006;PTP-VICTOIRE;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;1.9;1.875;µg/m3;;;;A;1;16.23674;-61.534101
2025-12-31 12:00:00;2025-12-31 13:00:00;GWAD'AIR;FR01ZRE01;ZR GUADELOUPE;FR37010;BT_PICHON;Urbaine;PM2.5;Fond;Oui;estimation objective;moyenne horaire validée;2.2;2.225;µg/m3;;;;A;1;15.994349;-61.727203
2025-12-31 12:00:00;2025-12-31 13:00:00;GWAD'AIR;FR01ZRE01;ZR GUADELOUPE;FR37038;SXM Marigot;Urbaine;PM2.5;Fond;Oui;estimation objective;moyenne horaire validée;1.7;1.675;µg/m3;;;;A;1;18.070114;-63.081481
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO REUNION;FR04ZAR01;ZAR SAINT-DENIS;FR38001;LYC. LISLET GEOFFROY;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;5.6;5.6;µg-m3;;;;A;1;-20.889893;55.46884
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38011;Station Luther King;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;;;µg-m3;;;;N;-1;-21.334406;55.45906
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38017;Grand Coude;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;;;µg-m3;;;;N;-1;-21.29433;55.62793
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO REUNION;FR04ZAR01;ZAR SAINT-DENIS;FR38020;Plateau Caillou;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;;;µg-m3;;;;N;-1;-21.022112;55.266773
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO REUNION;FR04ZAR01;ZAR SAINT-DENIS;FR38022;Chaussée Royale;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;1.3;1.3;µg-m3;;;;A;1;-20.998577;55.28062
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38023;BD BANKS;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;;;µg-m3;;;;N;-1;-21.331703;55.478949
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO REUNION;FR04ZRE01;ZR LA REUNION;FR38024;RDT SAINT-LEU;Rurale près des villes;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;;;µg-m3;;;;N;-1;-21.213212;55.302844
